INSERTED,DELETED,MODIFIED,FILENAME
3,0,0,b/src/jdk.compiler/share/classes/com/sun/tools/javac/comp/Attr.java
3,0,0,b/src/jdk.compiler/share/classes/com/sun/tools/javac/resources/compiler.properties
2,1,0,b/test/langtools/tools/javac/diags/examples/BreakOutsideSwitchExpression.java
2,1,0,b/test/langtools/tools/javac/diags/examples/ContinueOutsideSwitchExpression.java
2,1,0,b/test/langtools/tools/javac/diags/examples/ReturnOutsideSwitchExpression.java
2,1,0,b/test/langtools/tools/javac/diags/examples/RuleCompletesNormally.java
1,0,0,b/test/langtools/tools/javac/diags/examples/SwitchExpressionCompletesNormally.java
35,0,0,b/test/langtools/tools/javac/diags/examples/SwitchExpressionNoResultExpressions.java
17,3,0,b/test/langtools/tools/javac/switchexpr/EmptySwitch.java
5,1,0,b/test/langtools/tools/javac/switchexpr/EmptySwitch.out
2,0,0,b/test/langtools/tools/javac/switchexpr/ExpressionSwitchBreaks2.java
3,3,0,b/test/langtools/tools/javac/switchexpr/ExpressionSwitchBreaks2.out
5,0,0,b/test/langtools/tools/javac/switchexpr/ExpressionSwitchFlow.java
6,6,0,b/test/langtools/tools/javac/switchexpr/ExpressionSwitchFlow.out
2,1,0,b/test/langtools/tools/javac/switchexpr/WrongBreakTest.out
