INSERTED,DELETED,MODIFIED,FILENAME
35,0,0,b/compiler/frontend.java/src/org/jetbrains/kotlin/resolve/jvm/JvmDelegationFilter.kt
5,1,0,b/compiler/frontend.java/src/org/jetbrains/kotlin/resolve/jvm/platform/JvmPlatformConfigurator.kt
10,5,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/DelegationResolver.kt
8,3,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/TargetPlatform.kt
28,0,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/lazy/DelegationFilter.kt
1,0,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/lazy/LazyClassContext.kt
13,0,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/lazy/ResolveSession.java
3,1,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/lazy/descriptors/LazyClassMemberScope.kt
7,3,0,b/compiler/frontend/src/org/jetbrains/kotlin/types/expressions/LocalClassifierAnalyzer.kt
27,0,0,b/compiler/testData/codegen/java8/box/delegationBy/byMiddleInterface.kt
31,0,0,b/compiler/testData/codegen/java8/box/delegationBy/defaultOverride.kt
35,0,0,b/compiler/testData/codegen/java8/box/delegationBy/diamond.kt
35,0,0,b/compiler/testData/codegen/java8/box/delegationBy/diamond2.kt
22,0,0,b/compiler/testData/codegen/java8/box/delegationBy/inClassDeclaration.kt
32,0,0,b/compiler/testData/codegen/java8/box/delegationBy/mixed.kt
21,0,0,b/compiler/testData/codegen/java8/box/delegationBy/simple.kt
51,0,0,b/compiler/tests-java8/tests/org/jetbrains/kotlin/codegen/BlackBoxWithJava8CodegenTestGenerated.java
3,1,0,b/js/js.frontend/src/org/jetbrains/kotlin/js/resolve/JsPlatformConfigurator.kt
