INSERTED,DELETED,MODIFIED,FILENAME
2,2,0,b/compiler/src/dotty/tools/dotc/ast/tpd.scala
0,7,0,b/compiler/src/dotty/tools/dotc/core/Definitions.scala
4,4,0,b/compiler/src/dotty/tools/dotc/core/TypeApplications.scala
2,2,0,b/compiler/src/dotty/tools/dotc/core/TypeComparer.scala
2,2,0,b/compiler/src/dotty/tools/dotc/core/TypeErasure.scala
1,1,0,b/compiler/src/dotty/tools/dotc/core/TypeOps.scala
59,29,0,b/compiler/src/dotty/tools/dotc/core/Types.scala
1,1,0,b/compiler/src/dotty/tools/dotc/interactive/Completion.scala
1,1,0,b/compiler/src/dotty/tools/dotc/reporting/messages.scala
1,1,0,b/compiler/src/dotty/tools/dotc/transform/PatternMatcher.scala
1,1,0,b/compiler/src/dotty/tools/dotc/transform/TransformByNameApply.scala
1,1,0,b/compiler/src/dotty/tools/dotc/typer/ErrorReporting.scala
1,1,0,b/compiler/src/dotty/tools/dotc/typer/Implicits.scala
32,0,0,b/tests/pos/i10217.scala
