INSERTED,DELETED,MODIFIED,FILENAME
3,0,0,b/src/compiler/scala/tools/nsc/settings/ScalaSettings.scala
24,1,0,b/src/compiler/scala/tools/nsc/typechecker/Infer.scala
10,0,0,b/src/reflect/scala/reflect/internal/Symbols.scala
7,0,0,b/test/files/neg/t2509-2.check
1,0,0,b/test/files/neg/t2509-2.flags
28,0,0,b/test/files/neg/t2509-2.scala
4,0,0,b/test/files/neg/t2509-3.check
1,0,0,b/test/files/neg/t2509-3.flags
33,0,0,b/test/files/neg/t2509-3.scala
7,0,0,b/test/files/neg/t2509-7b.check
1,0,0,b/test/files/neg/t2509-7b.flags
31,0,0,b/test/files/neg/t2509-7b.scala
1,0,0,b/test/files/pos/t2030.flags
8,0,0,b/test/files/pos/t2030.scala
1,0,0,b/test/files/pos/t2509-5.flags
13,0,0,b/test/files/pos/t2509-5.scala
1,0,0,b/test/files/pos/t2509-6.flags
33,0,0,b/test/files/pos/t2509-6.scala
1,0,0,b/test/files/pos/t2509-7a.flags
31,0,0,b/test/files/pos/t2509-7a.scala
2,0,0,b/test/files/run/t2509-1.check
1,0,0,b/test/files/run/t2509-1.flags
33,0,0,b/test/files/run/t2509-1.scala
2,0,0,b/test/files/run/t2509-4.check
1,0,0,b/test/files/run/t2509-4.flags
35,0,0,b/test/files/run/t2509-4.scala
3,0,0,b/test/files/run/t7768.check
1,0,0,b/test/files/run/t7768.flags
89,0,0,b/test/files/run/t7768.scala
169,0,0,b/test/junit/scala/tools/nsc/typechecker/Infer.scala
